               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.038713,            0.079423,          0.00077831,             0.97408,             0.90544,             0.95761,             0.81217,            0.029225,            0.035217,          0.00034008,            0.007294,            0.007294,            0.007294
                  84,            0.038677,            0.079856,          0.00076493,             0.97483,             0.90509,              0.9573,             0.81326,            0.028997,             0.03463,          0.00035276,            0.007261,            0.007261,            0.007261
                  85,            0.038983,            0.080731,          0.00078093,             0.98238,              0.9094,             0.95385,             0.81174,            0.029116,            0.034866,          0.00033269,            0.007228,            0.007228,            0.007228
                  86,            0.038809,            0.080338,          0.00075788,             0.97491,             0.90833,             0.95137,             0.81127,            0.029288,            0.035477,           0.0003407,            0.007195,            0.007195,            0.007195
                  87,            0.038566,            0.079912,          0.00073577,             0.97765,             0.90707,             0.95403,             0.81084,            0.029089,            0.035294,          0.00034447,            0.007162,            0.007162,            0.007162
                  88,            0.038513,            0.079319,          0.00079314,             0.97061,             0.91032,             0.95042,             0.80884,            0.029211,              0.0354,          0.00033121,            0.007129,            0.007129,            0.007129
                  89,            0.038724,            0.079354,          0.00074812,             0.98057,                0.91,             0.95311,             0.81373,            0.029012,            0.035034,          0.00037098,            0.007096,            0.007096,            0.007096
                  90,            0.038467,            0.078837,          0.00078854,             0.97311,             0.90925,             0.95407,             0.81137,            0.029018,            0.034805,          0.00033803,            0.007063,            0.007063,            0.007063
                  91,            0.038617,            0.079757,          0.00076078,             0.97265,             0.90329,             0.95098,             0.80566,            0.029439,            0.035995,          0.00034008,             0.00703,             0.00703,             0.00703
                  92,            0.038534,            0.079044,          0.00078059,             0.97655,             0.91748,             0.95914,             0.82045,            0.028726,            0.034515,          0.00032802,            0.006997,            0.006997,            0.006997
                  93,            0.038434,            0.078819,          0.00074466,             0.97839,              0.9129,             0.95584,             0.81853,            0.028747,            0.034241,          0.00033555,            0.006964,            0.006964,            0.006964
                  94,            0.038517,            0.078405,          0.00075124,             0.97781,             0.90363,             0.95517,             0.81892,            0.028768,            0.034554,          0.00031142,            0.006931,            0.006931,            0.006931
                  95,            0.038386,             0.07911,          0.00071456,             0.97203,             0.90457,             0.94987,             0.81279,            0.028849,            0.034798,          0.00032558,            0.006898,            0.006898,            0.006898
                  96,             0.03825,            0.078566,          0.00074936,             0.97514,             0.90156,             0.95181,             0.81197,            0.029198,            0.034889,          0.00034161,            0.006865,            0.006865,            0.006865
                  97,            0.038333,            0.078909,          0.00077087,             0.97376,             0.90653,             0.95146,               0.816,            0.028909,            0.034706,          0.00031729,            0.006832,            0.006832,            0.006832
                  98,            0.038339,            0.078811,           0.0007557,              0.9656,             0.90974,             0.95622,             0.81731,            0.028906,            0.035179,          0.00032883,            0.006799,            0.006799,            0.006799
                  99,            0.038385,            0.078093,          0.00075868,             0.97859,             0.90369,             0.95071,             0.81791,            0.028712,             0.03373,          0.00031662,            0.006766,            0.006766,            0.006766
